wellName,MD,CALI,DT,GR,NPHI,RHOB,PHIF,SW,RACEHM_LOG
15/9-F-1 A,3442.5,8.5781,79.5007,35.1101,0.1967,2.3611,0.1651,0.7657,0.17626494211414614
15/9-F-1 A,3442.6,8.5781,79.7583,36.0089,0.195,2.3506,0.1711,0.7764,0.1286899935854543
15/9-F-1 A,3442.7,8.5781,80.0164,37.1036,0.1934,2.3417,0.1762,0.7236,0.09947345601416868
15/9-F-1 A,3442.8,8.5781,80.4647,36.9128,0.1917,2.3345,0.1803,0.6654,0.07747691950434232
15/9-F-1 A,3442.9,8.5781,80.9496,35.6688,0.1912,2.3299,0.1829,0.6285,0.06952010083522626
15/9-F-1 A,3443.0,8.5781,81.4339,36.111,0.1925,2.3286,0.1837,0.6333,0.04898530257071102
15/9-F-1 A,3443.1,8.5625,81.6979,35.0268,0.1971,2.3298,0.183,0.6709,0.019324037153690705
15/9-F-1 A,3443.2,8.5471,81.9038,33.5032,0.201,2.3323,0.1815,0.7378,-0.014618439768003075
15/9-F-1 A,3443.3,8.6017,82.1089,33.8899,0.2007,2.3358,0.1795,0.8124,-0.04258428527733102
15/9-F-1 A,3443.4,8.6249,81.9914,34.676,0.2054,2.3396,0.1774,0.8572,-0.08024221949810581
15/9-F-1 A,3443.5,8.5781,81.7626,35.5516,0.212,2.3419,0.1761,0.8649,-0.13596381727422502
15/9-F-1 A,3443.6,8.5781,81.5339,37.3643,0.2141,2.341,0.1766,0.8857,-0.18448866263723582
15/9-F-1 A,3443.7,8.5781,81.3716,37.2863,0.2156,2.3366,0.1791,0.8974,-0.199489123105632
15/9-F-1 A,3443.8,8.5781,81.2383,36.5621,0.2163,2.3304,0.1826,0.8938,-0.21638223480925126
15/9-F-1 A,3443.9,8.5781,81.1051,35.1927,0.216,2.3246,0.1859,0.8891,-0.23069653981091828
15/9-F-1 A,3444.0,8.5781,81.0087,34.7782,0.2149,2.3214,0.1878,0.8808,-0.2590849235187175
15/9-F-1 A,3444.1,8.5781,80.9322,35.1045,0.2142,2.3212,0.1879,0.8696,-0.30777016422724435
15/9-F-1 A,3444.2,8.5782,80.8564,36.2419,0.2146,2.3223,0.1873,0.857,-0.32753268693191795
15/9-F-1 A,3444.3,8.6249,81.0124,33.7751,0.2116,2.3215,0.1877,0.8375,-0.32111758532926427
15/9-F-1 A,3444.4,8.5781,81.3232,33.1188,0.2133,2.3162,0.1907,0.8305,-0.3172233536855659
15/9-F-1 A,3444.5,8.5781,81.6341,33.0691,0.2119,2.3069,0.1961,0.8313,-0.34640161815671017
15/9-F-1 A,3444.6,8.5781,81.971,31.4745,0.2121,2.2966,0.2019,0.8337,-0.38827669199265824
15/9-F-1 A,3444.7,8.5781,82.3291,30.3489,0.2147,2.2877,0.207,0.8786,-0.40660315769979327
15/9-F-1 A,3444.8,8.5779,82.6874,30.1747,0.2239,2.2804,0.2112,0.9364,-0.3110465373625821
15/9-F-1 A,3444.9,8.5,83.1027,28.2928,0.2288,2.2737,0.215,0.9091,-0.17308335281507956
15/9-F-1 A,3445.0,8.5,83.5744,27.3723,0.2342,2.2672,0.2187,0.8689,-0.17704775945251836
15/9-F-1 A,3445.1,8.5001,84.046,26.7575,0.2378,2.2624,0.2215,0.8308,-0.31273865375649357
